Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the southwest direction from the origin and  of olive cardboard cube. The teal cardboard cube is located in the northwest direction from the origin and East of teal aluminium sphere. The olive cardboard cube is located in the southeast direction from the origin and East of purple cardboard cube. The teal cardboard sphere is located in the northwest direction from the origin and Northwest of teal aluminium sphere. The teal aluminium sphere is located in the northwest direction from the origin and Southeast of teal cardboard sphere. The purple aluminium cube is located in the northwest direction from the origin and Northeast of teal cardboard sphere. The dynamic purple aluminium cube is located in the northwest with respect to the origin at the center. It is moving in the Southwest direction and collides with the teal aluminium sphere. After the collision the teal cardboard sphere moves in West and teal aluminium sphere moves in South direction. The purple aluminium cube collides with the teal cardboard sphere. The purple aluminium cube moves in the South and the teal cardboard sphere moves in the Southwest. The purple aluminium cube collides with the teal cardboard cube. The purple aluminium cube moves in the West and the teal cardboard cube moves in the . The teal aluminium sphere collides with the purple cardboard cube. The teal aluminium sphere moves in the South and the purple cardboard cube moves in the Southeast. ,How many collisions are there between  aluminium cube objects and teal  sphere objects ?,2,1
Initially there are six objects, five static and one dynamic object. The teal aluminium cube is located in the northeast direction from the origin and Northeast of purple cardboard sphere. The olive cardboard cube is located in the southwest direction from the origin and Southwest of purple cardboard sphere. The olive cardboard sphere is located in the southwest direction from the origin and Northwest of olive cardboard cube. The purple cardboard sphere is located in the southeast direction from the origin and Northeast of olive cardboard cube. The teal cardboard sphere is located in the southwest direction from the origin and South of olive cardboard cube. The teal aluminium sphere is located in the northwest direction from the origin and Northwest of olive cardboard sphere. The dynamic teal aluminium sphere is located in the northwest with respect to the origin at the center. It is moving in the Southeast direction and collides with the olive cardboard sphere. After the collision the olive cardboard cube moves in Southeast and olive cardboard sphere moves in  direction. The olive cardboard sphere collides with the olive cardboard cube. The olive cardboard sphere moves in the  and the olive cardboard cube moves in the Southeast. The olive cardboard cube collides with the teal cardboard sphere. The olive cardboard cube moves in the  and the teal cardboard sphere moves in the Southwest. The olive cardboard cube collides with the purple cardboard sphere. The olive cardboard cube moves in the Southeast and the purple cardboard sphere moves in the . ,What is the color of the collider of olive cardboard sphere in collision number 6?,olive,teal
Initially there are five objects, four static and one dynamic object. The olive cardboard sphere is located in the southwest direction from the origin and  of teal cardboard cube. The purple aluminium cube is located in the northeast direction from the origin and East of purple cardboard sphere. The purple cardboard sphere is located in the northeast direction from the origin and East of teal cardboard sphere. The teal cardboard sphere is located in the northeast direction from the origin and  of purple cardboard sphere. The teal cardboard cube is located in the southeast direction from the origin and East of olive cardboard sphere. The dynamic purple aluminium cube is located in the northeast with respect to the origin at the center. It is moving in the West direction and collides with the purple cardboard sphere. After the collision the purple aluminium cube moves in Southwest and purple cardboard sphere moves in West direction. The purple aluminium cube collides with the teal cardboard cube. The purple aluminium cube moves in the West and the teal cardboard cube moves in the Southwest. The purple cardboard sphere collides with the teal cardboard sphere. The purple cardboard sphere moves in the Northwest and the teal cardboard sphere moves in the West. ,What is the shape of the collider of purple cardboard sphere in collision number 2?,sphere,cube
Initially there are five objects, four static and one dynamic object. The teal aluminium cube is located in the northwest direction from the origin and Northeast of purple aluminium sphere. The teal aluminium sphere is located in the southeast direction from the origin and South of teal aluminium cube. The teal cardboard sphere is located in the northwest direction from the origin and North of purple aluminium sphere. The olive aluminium sphere is located in the northeast direction from the origin and East of teal aluminium cube. The purple aluminium sphere is located in the northwest direction from the origin and Southwest of teal aluminium cube. The dynamic teal cardboard sphere is located in the northwest with respect to the origin at the center. It is moving in the Southeast direction and collides with the purple aluminium sphere. After the collision the teal cardboard sphere moves in Southeast and teal aluminium cube moves in  direction. ,How many olive aluminium sphere objects are static when video ends ?,0,1
Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the northeast direction from the origin and East of teal aluminium sphere. The purple aluminium sphere is located in the southwest direction from the origin and Southeast of teal cardboard sphere. The olive aluminium sphere is located in the southwest direction from the origin and Southwest of purple aluminium sphere. The teal cardboard sphere is located in the southwest direction from the origin and Northwest of purple aluminium sphere. The olive aluminium cube is located in the northwest direction from the origin and Northwest of teal aluminium sphere. The teal aluminium sphere is located in the north direction from the origin and  of purple cardboard cube. The dynamic olive aluminium sphere is located in the southwest with respect to the origin at the center. It is moving in the Northeast direction and collides with the purple aluminium sphere. After the collision the olive aluminium sphere moves in Northeast and teal cardboard sphere moves in North direction. The teal aluminium sphere collides with the purple cardboard cube. The teal aluminium sphere moves in the  and the purple cardboard cube moves in the West. ,How many purple aluminium sphere objects are moving when video ends ?,0,1
Initially there are six objects, five static and one dynamic object. The olive cardboard cube is located in the southwest direction from the origin and South of purple cardboard sphere. The teal aluminium cube is located in the northwest direction from the origin and Northwest of purple aluminium sphere. The teal cardboard cube is located in the northeast direction from the origin and East of purple aluminium sphere. The purple aluminium sphere is located in the northwest direction from the origin and North of purple cardboard sphere. The teal cardboard sphere is located in the southwest direction from the origin and Southeast of olive cardboard cube. The purple cardboard sphere is located in the northwest direction from the origin and North of olive cardboard cube. The dynamic teal aluminium cube is located in the northwest with respect to the origin at the center. It is moving in the South direction and collides with the purple aluminium sphere. After the collision the purple aluminium sphere moves in Southeast and purple cardboard sphere moves in  direction. The purple cardboard sphere collides with the olive cardboard cube. The purple cardboard sphere moves in the South and the olive cardboard cube moves in the . ,What is the material of the collidee of teal aluminium cube in collision number 1?,aluminium,cardboard
Initially there are six objects, five static and one dynamic object. The olive aluminium cube is located in the northeast direction from the origin and Southeast of purple aluminium cube. The purple aluminium sphere is located in the southeast direction from the origin and Southeast of teal aluminium cube. The teal aluminium cube is located in the northwest direction from the origin and Southwest of teal cardboard sphere. The teal cardboard cube is located in the southwest direction from the origin and Southwest of teal aluminium cube. The teal cardboard sphere is located in the northwest direction from the origin and Northeast of teal aluminium cube. The purple aluminium cube is located in the northeast direction from the origin and Northeast of teal cardboard sphere. The dynamic teal cardboard cube is located in the southwest with respect to the origin at the center. It is moving in the Northeast direction and collides with the teal aluminium cube. After the collision the teal cardboard cube moves in Northeast and teal aluminium cube moves in Northwest direction. The purple aluminium cube collides with the teal cardboard sphere. The purple aluminium cube moves in the  and the teal cardboard sphere moves in the Northwest. The teal cardboard sphere collides with the purple aluminium cube. The teal cardboard sphere moves in the North and the purple aluminium cube moves in the Northeast. ,What is the color of the collider of teal cardboard sphere in collision number 3?,purple,teal
Initially there are five objects, four static and one dynamic object. The purple cardboard cube is located in the southwest direction from the origin and  of purple cardboard sphere. The purple cardboard sphere is located in the southwest direction from the origin and East of purple cardboard cube. The teal cardboard cube is located in the northwest direction from the origin and  of purple aluminium sphere. The purple aluminium sphere is located in the northwest direction from the origin and East of teal cardboard cube. The teal aluminium cube is located in the northeast direction from the origin and Northeast of purple aluminium sphere. The dynamic teal aluminium cube is located in the northeast with respect to the origin at the center. It is moving in the Southwest direction and collides with the purple aluminium sphere. After the collision the teal aluminium cube moves in Southwest and purple aluminium sphere moves in Southwest direction. The purple aluminium sphere collides with the teal cardboard cube. The purple aluminium sphere moves in the South and the teal cardboard cube moves in the North. The purple cardboard sphere collides with the purple cardboard cube. The purple cardboard sphere moves in the  and the purple cardboard cube moves in the South. ,How many collisions are there between  cardboard sphere objects and  cardboard sphere objects ?,0,1
Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the northwest direction from the origin and North of olive cardboard sphere. The teal aluminium cube is located in the northeast direction from the origin and Northeast of purple cardboard cube. The olive cardboard cube is located in the southeast direction from the origin and Southeast of teal aluminium sphere. The olive cardboard sphere is located in the northeast direction from the origin and South of purple cardboard cube. The purple aluminium sphere is located in the northwest direction from the origin and  of purple cardboard cube. The teal aluminium sphere is located in the southwest direction from the origin and Northwest of olive cardboard cube. The dynamic teal aluminium cube is located in the northeast with respect to the origin at the center. It is moving in the West direction and collides with the purple cardboard cube. After the collision the teal aluminium cube moves in Southwest and purple cardboard cube moves in West direction. The teal aluminium cube collides with the olive cardboard sphere. The teal aluminium cube moves in the Southeast and the olive cardboard sphere moves in the . The olive cardboard sphere collides with the teal aluminium sphere. The olive cardboard sphere moves in the South and the teal aluminium sphere moves in the . ,What is the material of the collidee of purple cardboard cube in collision number 2?,aluminium,cardboard
Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the southeast direction from the origin and Southeast of olive cardboard sphere. The olive cardboard cube is located in the northwest direction from the origin and North of olive aluminium sphere. The olive cardboard sphere is located in the southwest direction from the origin and South of olive aluminium sphere. The purple aluminium sphere is located in the northeast direction from the origin and East of olive cardboard cube. The teal cardboard sphere is located in the northwest direction from the origin and  of olive cardboard cube. The olive aluminium sphere is located in the west direction from the origin and South of olive cardboard cube. The dynamic purple cardboard cube is located in the southeast with respect to the origin at the center. It is moving in the Northwest direction and collides with the olive cardboard sphere. After the collision the purple cardboard cube moves in Northwest and olive cardboard sphere moves in Northwest direction. The olive cardboard cube collides with the olive aluminium sphere. The olive cardboard cube moves in the  and the olive aluminium sphere moves in the . ,How many olive cardboard cube objects are moving when video ends ?,0,1
Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the northwest direction from the origin and  of olive cardboard cube. The olive aluminium cube is located in the southeast direction from the origin and Southwest of purple cardboard sphere. The purple aluminium cube is located in the southwest direction from the origin and Southwest of olive aluminium cube. The purple cardboard sphere is located in the northeast direction from the origin and Northeast of olive aluminium cube. The olive cardboard cube is located in the northeast direction from the origin and  of teal cardboard cube. The teal cardboard cube is located in the northeast direction from the origin and East of olive cardboard cube. The dynamic purple aluminium cube is located in the southwest with respect to the origin at the center. It is moving in the Northeast direction and collides with the olive cardboard cube. After the collision the teal cardboard cube moves in  and olive cardboard cube moves in  direction. The purple aluminium cube collides with the olive aluminium cube. The purple aluminium cube moves in the Northeast and the olive aluminium cube moves in the . The purple aluminium cube collides with the purple cardboard sphere. The purple aluminium cube moves in the North and the purple cardboard sphere moves in the Northeast. The olive cardboard cube collides with the teal cardboard cube. The olive cardboard cube moves in the  and the teal cardboard cube moves in the . ,What is the material of the collidee of purple aluminium cube in collision number 1?,aluminium,cardboard
Initially there are six objects, five static and one dynamic object. The olive cardboard sphere is located in the southeast direction from the origin and Southeast of purple cardboard cube. The purple cardboard sphere is located in the southwest direction from the origin and Northwest of olive aluminium sphere. The purple cardboard cube is located in the northwest direction from the origin and North of olive aluminium sphere. The olive aluminium sphere is located in the southwest direction from the origin and South of purple cardboard cube. The teal cardboard sphere is located in the northeast direction from the origin and Northeast of purple cardboard cube. The teal aluminium sphere is located in the northeast direction from the origin and Northeast of teal cardboard sphere. The dynamic teal aluminium sphere is located in the northeast with respect to the origin at the center. It is moving in the West direction and collides with the teal cardboard sphere. After the collision the teal aluminium sphere moves in West and teal cardboard sphere moves in Southwest direction. The teal cardboard sphere collides with the purple cardboard cube. The teal cardboard sphere moves in the Southwest and the purple cardboard cube moves in the Southwest. The purple cardboard cube collides with the olive cardboard sphere. The purple cardboard cube moves in the Southwest and the olive cardboard sphere moves in the North. The purple cardboard cube collides with the olive aluminium sphere. The purple cardboard cube moves in the Northwest and the olive aluminium sphere moves in the South. The purple cardboard cube collides with the purple cardboard sphere. The purple cardboard cube moves in the Southwest and the purple cardboard sphere moves in the . ,What is the shape of the collider of purple cardboard sphere in collision number 5?,cube,sphere
Initially there are six objects, five static and one dynamic object. The teal aluminium cube is located in the northwest direction from the origin and Northwest of teal aluminium sphere. The purple cardboard cube is located in the northeast direction from the origin and Southeast of teal cardboard sphere. The olive cardboard sphere is located in the southeast direction from the origin and South of purple cardboard cube. The teal cardboard sphere is located in the northwest direction from the origin and Northwest of purple cardboard cube. The teal aluminium sphere is located in the northwest direction from the origin and  of teal cardboard sphere. The teal cardboard cube is located in the northeast direction from the origin and North of teal cardboard sphere. The dynamic teal cardboard cube is located in the northeast with respect to the origin at the center. It is moving in the South direction and collides with the teal cardboard sphere. After the collision the purple cardboard cube moves in Southwest and teal cardboard sphere moves in South direction. The teal cardboard sphere collides with the purple cardboard cube. The teal cardboard sphere moves in the South and the purple cardboard cube moves in the Southwest. ,What is the shape of the collider of purple cardboard cube in collision number 2?,cube,sphere
Initially there are six objects, five static and one dynamic object. The purple cardboard cube is located in the northwest direction from the origin and Northwest of teal cardboard sphere. The purple cardboard sphere is located in the southeast direction from the origin and Southeast of teal cardboard sphere. The olive cardboard sphere is located in the northeast direction from the origin and East of purple aluminium sphere. The teal cardboard sphere is located in the northwest direction from the origin and Northwest of purple cardboard sphere. The purple aluminium sphere is located in the northeast direction from the origin and Northeast of teal cardboard sphere. The olive aluminium sphere is located in the southwest direction from the origin and Southwest of purple cardboard sphere. The dynamic olive cardboard sphere is located in the northeast with respect to the origin at the center. It is moving in the Southwest direction and collides with the purple cardboard sphere. After the collision the olive cardboard sphere moves in Southeast and purple cardboard sphere moves in Southwest direction. ,How many collisions are there between olive  sphere objects and purple cardboard sphere objects ?,1,2
Initially there are six objects, five static and one dynamic object. The olive aluminium sphere is located in the southwest direction from the origin and Northwest of purple aluminium cube. The olive cardboard sphere is located in the southwest direction from the origin and East of purple aluminium cube. The olive aluminium cube is located in the northwest direction from the origin and  of purple aluminium sphere. The purple aluminium cube is located in the southwest direction from the origin and Southeast of olive aluminium sphere. The purple aluminium sphere is located in the northwest direction from the origin and South of purple cardboard sphere. The purple cardboard sphere is located in the northwest direction from the origin and North of purple aluminium sphere. The dynamic purple cardboard sphere is located in the northwest with respect to the origin at the center. It is moving in the South direction and collides with the purple aluminium sphere. After the collision the purple cardboard sphere moves in South and purple aluminium sphere moves in South direction. The olive aluminium sphere collides with the purple aluminium cube. The olive aluminium sphere moves in the  and the purple aluminium cube moves in the . The purple aluminium cube collides with the olive cardboard sphere. The purple aluminium cube moves in the  and the olive cardboard sphere moves in the Southeast. The purple aluminium cube collides with the olive aluminium sphere. The purple aluminium cube moves in the Northwest and the olive aluminium sphere moves in the West. ,What is the material of the collider of purple aluminium sphere in collision number 4?,aluminium,cardboard
